Timestamp;% CPU (global);% CPU (user);% CPU (system);;;;
1375;1.00;0.50;0.30;;;;
1380;0.90;0.60;0.20;;;;
1385;0.80;0.50;0.20;;;;
1390;0.80;0.50;0.20;;;;
1395;0.90;0.60;0.20;;;;
1400;0.80;0.50;0.20;;;;
1405;0.90;0.60;0.20;;;;
1410;0.90;0.60;0.20;;;;
1415;1.00;0.60;0.20;;;;
1420;1.00;0.60;0.20;;;;
1425;0.90;0.50;0.30;;;;
1430;0.90;0.60;0.20;;;;
1435;1.10;0.70;0.20;;;;
1440;0.80;0.60;0.20;;;;
1445;0.90;0.60;0.20;;;;
1450;1.00;0.60;0.20;;;;
1455;1.00;0.70;0.20;;;;
1460;0.90;0.50;0.30;;;;
1465;1.90;1.40;0.30;;;;
1470;0.80;0.50;0.20;;;;
1475;0.80;0.50;0.20;;;;
1480;0.90;0.50;0.20;;;;
1485;1.00;0.60;0.20;;;;
1490;0.90;0.50;0.30;;;;
1495;1.00;0.60;0.20;;;;
1500;0.90;0.50;0.30;;;;
1505;1.40;1.00;0.30;;;;
1510;0.90;0.50;0.30;;;;
1515;0.80;0.50;0.20;;;;
1520;0.90;0.50;0.30;;;;
1525;0.80;0.50;0.20;;;;
1530;0.80;0.50;0.10;;;;
1535;1.00;0.60;0.30;;;;
1540;1.00;0.60;0.20;;;;
1545;0.90;0.50;0.20;;;;
1550;0.90;0.60;0.20;;;;
1555;1.00;0.60;0.30;;;;
1560;0.90;0.50;0.20;;;;
1565;1.00;0.60;0.20;;;;
1570;0.90;0.60;0.20;;;;
1575;1.00;0.70;0.20;;;;
1580;0.80;0.60;0.20;;;;
1585;1.00;0.70;0.20;;;;
1590;0.90;0.60;0.20;;;;
1595;0.90;0.50;0.20;;;;
1600;0.90;0.50;0.20;;;;
1605;0.90;0.50;0.20;;;;
1610;0.90;0.60;0.20;;;;
1615;0.80;0.50;0.20;;;;
1620;1.00;0.60;0.20;;;;
1625;0.90;0.50;0.20;;;;
1630;0.80;0.50;0.20;;;;
1635;0.90;0.60;0.20;;;;
1640;0.80;0.50;0.20;;;;
1645;1.30;1.00;0.20;;;;
1650;0.90;0.60;0.20;;;;
1655;1.00;0.60;0.20;;;;
1660;0.80;0.50;0.20;;;;
1665;1.00;0.60;0.20;;;;
1670;0.90;0.60;0.30;;;;
1675;0.90;0.60;0.20;;;;
1680;1.00;0.60;0.20;;;;
1685;0.80;0.50;0.20;;;;
1690;1.00;0.60;0.30;;;;
1695;0.90;0.50;0.30;;;;
1700;0.90;0.50;0.30;;;;
1705;0.80;0.50;0.10;;;;
1710;1.00;0.60;0.20;;;;
1715;0.70;0.40;0.20;;;;
1720;0.90;0.60;0.20;;;;
1725;0.90;0.60;0.20;;;;
1730;0.90;0.50;0.20;;;;
1735;1.10;0.70;0.20;;;;
1740;1.00;0.70;0.10;;;;
1745;1.00;0.60;0.30;;;;
1750;0.90;0.60;0.20;;;;
1755;0.90;0.60;0.10;;;;
1760;1.10;0.70;0.30;;;;
1765;2.40;1.90;0.30;;;;
1770;1.00;0.50;0.30;;;;
1775;1.30;1.00;0.30;;;;
1780;0.80;0.50;0.20;;;;
1785;1.00;0.60;0.20;;;;
1790;1.00;0.70;0.10;;;;
1795;0.90;0.60;0.20;;;;
1800;1.00;0.60;0.20;;;;
1805;1.00;0.60;0.30;;;;
1810;0.90;0.60;0.20;;;;
1815;1.00;0.60;0.20;;;;
1820;0.80;0.60;0.20;;;;
1825;0.90;0.60;0.20;;;;
1830;0.90;0.50;0.20;;;;
