Timestamp;Capacidad disponible;Capacidad utilizada;% Memoria utilizada;;;
234;10405020;896156;7.929758814;;;
235;10405020;896156;7.929758814;;;
236;10405020;896156;7.929758814;;;
237;10405020;896156;7.929758814;;;
238;10405020;896156;7.929758814;;;
239;10405020;896156;7.929758814;;;
240;10405020;896156;7.929758814;;;
241;10405020;896156;7.929758814;;;
242;10405020;896156;7.929758814;;;
243;10405020;896156;7.929758814;;;
244;10405020;896156;7.929758814;;;
245;10405020;896156;7.929758814;;;
246;10405020;896156;7.929758814;;;
247;10405020;896156;7.929758814;;;
248;10405020;896156;7.929758814;;;
249;10405020;896156;7.929758814;;;
250;10405020;896156;7.929758814;;;
251;10405020;896156;7.929758814;;;
252;10405020;896156;7.929758814;;;
253;10405020;896156;7.929758814;;;
254;10405020;896156;7.929758814;;;
255;10405020;896156;7.929758814;;;
256;10405020;896156;7.929758814;;;
257;10405020;896156;7.929758814;;;
258;10405020;896156;7.929758814;;;
259;10405020;896156;7.929758814;;;
260;10405020;896156;7.929758814;;;
261;10405020;896156;7.929758814;;;
262;10405020;896156;7.929758814;;;
263;10405020;896156;7.929758814;;;
264;10405020;896156;7.929758814;;;
265;10405020;896156;7.929758814;;;
266;10405020;896156;7.929758814;;;
267;10405020;896156;7.929758814;;;
268;10404896;896280;7.930856045;;;
269;10404896;896280;7.930856045;;;
270;10404896;896280;7.930856045;;;
271;10404896;896280;7.930856045;;;
272;10404896;896280;7.930856045;;;
273;10404896;896280;7.930856045;;;
274;10404896;896280;7.930856045;;;
275;10405036;896140;7.929617236;;;
276;10405036;896140;7.929617236;;;
277;10405020;896156;7.929758814;;;
278;10405020;896156;7.929758814;;;
279;10405020;896156;7.929758814;;;
280;10405012;896164;7.929829604;;;
281;10405012;896164;7.929829604;;;
282;10405012;896164;7.929829604;;;
283;10405012;896164;7.929829604;;;
284;10405012;896164;7.929829604;;;
285;10405012;896164;7.929829604;;;
286;10405012;896164;7.929829604;;;
287;10405012;896164;7.929829604;;;
288;10405020;896156;7.929758814;;;
289;10405020;896156;7.929758814;;;
290;10404748;896428;7.932165644;;;
291;10405152;896024;7.928590794;;;
292;10404764;896412;7.932024065;;;
293;10404764;896412;7.932024065;;;
294;10404764;896412;7.932024065;;;
295;10404764;896412;7.932024065;;;
296;10404764;896412;7.932024065;;;
297;10404756;896420;7.932094855;;;
298;10404764;896412;7.932024065;;;
299;10404764;896412;7.932024065;;;
300;10404772;896404;7.931953276;;;
301;10404772;896404;7.931953276;;;
302;10404772;896404;7.931953276;;;
303;10404772;896404;7.931953276;;;
304;10404772;896404;7.931953276;;;
305;10404772;896404;7.931953276;;;
306;10404772;896404;7.931953276;;;
307;10404772;896404;7.931953276;;;
308;10404772;896404;7.931953276;;;
309;10404772;896404;7.931953276;;;
310;10404772;896404;7.931953276;;;
311;10404904;896272;7.930785256;;;
312;10405152;896024;7.928590794;;;
313;10405012;896164;7.929829604;;;
314;10405020;896156;7.929758814;;;
315;10405020;896156;7.929758814;;;
316;10405020;896156;7.929758814;;;
317;10405020;896156;7.929758814;;;
318;10405020;896156;7.929758814;;;
319;10405020;896156;7.929758814;;;
320;10405020;896156;7.929758814;;;
321;10404896;896280;7.930856045;;;
322;10404896;896280;7.930856045;;;
323;10404896;896280;7.930856045;;;
324;10404896;896280;7.930856045;;;
325;10404896;896280;7.930856045;;;
326;10404896;896280;7.930856045;;;
327;10404896;896280;7.930856045;;;
328;10404896;896280;7.930856045;;;
329;10404896;896280;7.930856045;;;
330;10404896;896280;7.930856045;;;
331;10404896;896280;7.930856045;;;
332;10404888;896288;7.930926835;;;
333;10404888;896288;7.930926835;;;
334;10404888;896288;7.930926835;;;
335;10404888;896288;7.930926835;;;
336;10404888;896288;7.930926835;;;
337;10404888;896288;7.930926835;;;
338;10404888;896288;7.930926835;;;
339;10404888;896288;7.930926835;;;
340;10404888;896288;7.930926835;;;
341;10404888;896288;7.930926835;;;
342;10404888;896288;7.930926835;;;
343;10404888;896288;7.930926835;;;
344;10404896;896280;7.930856045;;;
345;10404896;896280;7.930856045;;;
346;10404896;896280;7.930856045;;;
347;10404896;896280;7.930856045;;;
348;10405408;895768;7.926325543;;;
349;10405408;895768;7.926325543;;;
350;10405268;895908;7.927564353;;;
351;10405268;895908;7.927564353;;;
352;10405268;895908;7.927564353;;;
353;10405268;895908;7.927564353;;;
354;10405268;895908;7.927564353;;;
355;10405268;895908;7.927564353;;;
356;10405268;895908;7.927564353;;;
357;10405268;895908;7.927564353;;;
358;10405268;895908;7.927564353;;;
359;10405268;895908;7.927564353;;;
360;10405268;895908;7.927564353;;;
361;10405268;895908;7.927564353;;;
362;10405268;895908;7.927564353;;;
363;10405268;895908;7.927564353;;;
364;10405268;895908;7.927564353;;;
365;10405268;895908;7.927564353;;;
366;10405268;895908;7.927564353;;;
367;10405268;895908;7.927564353;;;
368;10405268;895908;7.927564353;;;
369;10405260;895916;7.927635142;;;
370;10405260;895916;7.927635142;;;
371;10405260;895916;7.927635142;;;
372;10405260;895916;7.927635142;;;
373;10405260;895916;7.927635142;;;
374;10405260;895916;7.927635142;;;
375;10405260;895916;7.927635142;;;
376;10405260;895916;7.927635142;;;
377;10405196;895980;7.928201454;;;
378;10405152;896024;7.928590794;;;
379;10404344;896832;7.935740493;;;
380;10404524;896652;7.934147738;;;
381;10404524;896652;7.934147738;;;
382;10404516;896660;7.934218527;;;
383;10404516;896660;7.934218527;;;
384;10404516;896660;7.934218527;;;
385;10404516;896660;7.934218527;;;
386;10404516;896660;7.934218527;;;
387;10404392;896784;7.935315758;;;
388;10404392;896784;7.935315758;;;
389;10404392;896784;7.935315758;;;
390;10404392;896784;7.935315758;;;
391;10404392;896784;7.935315758;;;
392;10404392;896784;7.935315758;;;
393;10404392;896784;7.935315758;;;
394;10404384;896792;7.935386547;;;
395;10404384;896792;7.935386547;;;
396;10404392;896784;7.935315758;;;
397;10404392;896784;7.935315758;;;
398;10404392;896784;7.935315758;;;
399;10404392;896784;7.935315758;;;
400;10404392;896784;7.935315758;;;
401;10404400;896776;7.935244969;;;
402;10404400;896776;7.935244969;;;
403;10404400;896776;7.935244969;;;
404;10404400;896776;7.935244969;;;
405;10404408;896768;7.93517418;;;
406;10404408;896768;7.93517418;;;
407;10404408;896768;7.93517418;;;
408;10404312;896864;7.936023649;;;
409;10404548;896628;7.933935371;;;
410;10404648;896528;7.933050507;;;
411;10404648;896528;7.933050507;;;
412;10404648;896528;7.933050507;;;
413;10404648;896528;7.933050507;;;
414;10404648;896528;7.933050507;;;
415;10404648;896528;7.933050507;;;
416;10404648;896528;7.933050507;;;
417;10404648;896528;7.933050507;;;
418;10404656;896520;7.932979718;;;
419;10404656;896520;7.932979718;;;
420;10404656;896520;7.932979718;;;
421;10404656;896520;7.932979718;;;
422;10404656;896520;7.932979718;;;
423;10404656;896520;7.932979718;;;
424;10404656;896520;7.932979718;;;
425;10404656;896520;7.932979718;;;
426;10404656;896520;7.932979718;;;
427;10404656;896520;7.932979718;;;
428;10404656;896520;7.932979718;;;
429;10404656;896520;7.932979718;;;
430;10404656;896520;7.932979718;;;
431;10404656;896520;7.932979718;;;
432;10404656;896520;7.932979718;;;
433;10404656;896520;7.932979718;;;
434;10404656;896520;7.932979718;;;
435;10404656;896520;7.932979718;;;
436;10404672;896504;7.93283814;;;
437;10404672;896504;7.93283814;;;
438;10404656;896520;7.932979718;;;
439;10404656;896520;7.932979718;;;
440;10404656;896520;7.932979718;;;
441;10404656;896520;7.932979718;;;
442;10404656;896520;7.932979718;;;
443;10404656;896520;7.932979718;;;
444;10404656;896520;7.932979718;;;
445;10404648;896528;7.933050507;;;
446;10404648;896528;7.933050507;;;
447;10404524;896652;7.934147738;;;
448;10404524;896652;7.934147738;;;
449;10404524;896652;7.934147738;;;
450;10404524;896652;7.934147738;;;
451;10404524;896652;7.934147738;;;
452;10404524;896652;7.934147738;;;
453;10404524;896652;7.934147738;;;
454;10404524;896652;7.934147738;;;
455;10404524;896652;7.934147738;;;
456;10404532;896644;7.934076949;;;
457;10404532;896644;7.934076949;;;
458;10404532;896644;7.934076949;;;
459;10404532;896644;7.934076949;;;
460;10404532;896644;7.934076949;;;
461;10404532;896644;7.934076949;;;
462;10404532;896644;7.934076949;;;
463;10404532;896644;7.934076949;;;
464;10404532;896644;7.934076949;;;
465;10404532;896644;7.934076949;;;
466;10404532;896644;7.934076949;;;
467;10404300;896876;7.936129833;;;
468;10404424;896752;7.935032602;;;
469;10404408;896768;7.93517418;;;
470;10404408;896768;7.93517418;;;
471;10404408;896768;7.93517418;;;
472;10404408;896768;7.93517418;;;
473;10404408;896768;7.93517418;;;
474;10404408;896768;7.93517418;;;
475;10404408;896768;7.93517418;;;
476;10404408;896768;7.93517418;;;
477;10404408;896768;7.93517418;;;
478;10404408;896768;7.93517418;;;
479;10404408;896768;7.93517418;;;
480;10404408;896768;7.93517418;;;
481;10404408;896768;7.93517418;;;
482;10404408;896768;7.93517418;;;
483;10404408;896768;7.93517418;;;
484;10404408;896768;7.93517418;;;
485;10404408;896768;7.93517418;;;
486;10404408;896768;7.93517418;;;
487;10404408;896768;7.93517418;;;
488;10404408;896768;7.93517418;;;
489;10404408;896768;7.93517418;;;
490;10404408;896768;7.93517418;;;
491;10404408;896768;7.93517418;;;
492;10404392;896784;7.935315758;;;
493;10404392;896784;7.935315758;;;
494;10404392;896784;7.935315758;;;
495;10404392;896784;7.935315758;;;
496;10404392;896784;7.935315758;;;
497;10404216;896960;7.936873118;;;
498;10404400;896776;7.935244969;;;
499;10404400;896776;7.935244969;;;
500;10404384;896792;7.935386547;;;
501;10404384;896792;7.935386547;;;
502;10404384;896792;7.935386547;;;
503;10404384;896792;7.935386547;;;
504;10404384;896792;7.935386547;;;
505;10404384;896792;7.935386547;;;
506;10404384;896792;7.935386547;;;
507;10404384;896792;7.935386547;;;
508;10404392;896784;7.935315758;;;
509;10404392;896784;7.935315758;;;
510;10404392;896784;7.935315758;;;
511;10404392;896784;7.935315758;;;
512;10404392;896784;7.935315758;;;
513;10404392;896784;7.935315758;;;
514;10404392;896784;7.935315758;;;
515;10404392;896784;7.935315758;;;
516;10404268;896908;7.936412989;;;
517;10404268;896908;7.936412989;;;
518;10404268;896908;7.936412989;;;
519;10404268;896908;7.936412989;;;
520;10404268;896908;7.936412989;;;
521;10404268;896908;7.936412989;;;
522;10404268;896908;7.936412989;;;
523;10404268;896908;7.936412989;;;
