Timestamp;% Memoria utilizada;Capacidad disponible;Capacidad utilizada;;;;
3975;32.73268475;10812072;5261220;;;;
3990;32.77068568;10805964;5267328;;;;
4005;32.77068568;10805964;5267328;;;;
4020;32.74246495;10810500;5262792;;;;
4035;32.73280918;10812052;5261240;;;;
4050;32.80868661;10799856;5273436;;;;
4065;32.76321988;10807164;5266128;;;;
4080;32.7551817;10808456;5264836;;;;
4095;32.7551817;10808456;5264836;;;;
4110;32.75674952;10808204;5265088;;;;
4125;32.75674952;10808204;5265088;;;;
4140;32.75674952;10808204;5265088;;;;
4155;32.75674952;10808204;5265088;;;;
4170;32.75674952;10808204;5265088;;;;
4185;32.75674952;10808204;5265088;;;;
4200;32.68204174;10820212;5253080;;;;
4215;32.68343535;10819988;5253304;;;;
4230;32.68343535;10819988;5253304;;;;
4245;32.68343535;10819988;5253304;;;;
4260;32.69284226;10818476;5254816;;;;
4275;32.70068135;10817216;5256076;;;;
4290;32.70068135;10817216;5256076;;;;
4305;32.70068135;10817216;5256076;;;;
4320;32.70068135;10817216;5256076;;;;
4335;32.70374233;10816724;5256568;;;;
4350;32.74898509;10809452;5263840;;;;
4365;32.74741727;10809704;5263588;;;;
4380;32.74741727;10809704;5263588;;;;
4395;32.74271381;10810460;5262832;;;;
4410;32.73957818;10810964;5262328;;;;
4425;32.73957818;10810964;5262328;;;;
4440;32.73957818;10810964;5262328;;;;
4455;32.74898509;10809452;5263840;;;;
4470;32.74898509;10809452;5263840;;;;
4485;32.74898509;10809452;5263840;;;;
4500;32.74898509;10809452;5263840;;;;
4515;32.74898509;10809452;5263840;;;;
4530;32.74898509;10809452;5263840;;;;
4545;32.74898509;10809452;5263840;;;;
4560;32.74898509;10809452;5263840;;;;
4575;32.7505529;10809200;5264092;;;;
4590;32.76309545;10807184;5266108;;;;
4605;32.76309545;10807184;5266108;;;;
4620;32.73801036;10811216;5262076;;;;
4635;32.74253961;10810488;5262804;;;;
4650;32.81458459;10798908;5274384;;;;
4665;32.7377615;10811256;5262036;;;;
4680;32.73932932;10811004;5262288;;;;
4695;32.73932932;10811004;5262288;;;;
4710;32.68132004;10820328;5252964;;;;
4725;32.65309932;10824864;5248428;;;;
4740;32.65309932;10824864;5248428;;;;
4755;32.65309932;10824864;5248428;;;;
4770;32.6515315;10825116;5248176;;;;
4785;32.6515315;10825116;5248176;;;;
4800;32.6515315;10825116;5248176;;;;
4815;32.6515315;10825116;5248176;;;;
